variant,split,slice,n_predictions,n_months,mean_mape_pct,median_mape_pct
single__target_month_spring_festival_days,valid,jan_feb_wd1_10,20,2,7.35492100175137,3.4250742126454297
single__target_month_spring_festival_days,valid,spring_wd1_10,20,2,7.35492100175137,3.4250742126454297
single__target_month_spring_festival_days,test,overall,80,4,14.76220370261031,12.952122783106653
single__target_month_spring_festival_days,test,jan_feb,37,2,13.00017943728637,12.355737547541764
single__target_month_spring_festival_days,test,spring_festival_month,16,1,10.584102200680407,10.6557576735519
single__target_month_spring_festival_days,test,high_nonworkday_month,16,1,10.584102200680407,10.6557576735519
single__target_month_spring_festival_days,test,wd1_5,20,4,14.99488229014555,14.279762701888021
single__target_month_spring_festival_days,test,wd1_10,40,4,15.091289886037128,14.279762701888021
single__target_month_spring_festival_days,test,jan_feb_wd1_10,20,2,13.136735752391408,13.290744605625763
single__target_month_spring_festival_days,test,spring_wd1_10,10,1,10.269918026027144,10.36741324996958
single__target_month_spring_festival_spans_adjacent_month,valid,overall,248,12,7.422426334882697,6.626754530254489
single__target_month_spring_festival_spans_adjacent_month,valid,jan_feb,38,2,5.579106495134633,3.569002011098118
single__target_month_spring_festival_spans_adjacent_month,valid,spring_festival_month,38,2,5.579106495134633,3.569002011098118
single__target_month_spring_festival_spans_adjacent_month,valid,high_nonworkday_month,56,3,6.911400540892886,7.236406684860037
single__target_month_spring_festival_spans_adjacent_month,valid,wd1_5,60,12,8.084677485972055,7.34351037544413
single__target_month_spring_festival_spans_adjacent_month,valid,wd1_10,120,12,7.980121732260401,7.028114978236928
single__target_month_spring_festival_spans_adjacent_month,valid,jan_feb_wd1_10,20,2,7.077448985808353,3.5048932392182444
single__target_month_spring_festival_spans_adjacent_month,valid,spring_wd1_10,20,2,7.077448985808353,3.5048932392182444
single__target_month_spring_festival_spans_adjacent_month,test,overall,80,4,14.940562347198343,12.746575046595964
single__target_month_spring_festival_spans_adjacent_month,test,jan_feb,37,2,13.47682153288237,12.787245890825687
single__target_month_spring_festival_spans_adjacent_month,test,spring_festival_month,16,1,10.714613015252883,10.77440457466415
single__target_month_spring_festival_spans_adjacent_month,test,high_nonworkday_month,16,1,10.714613015252883,10.77440457466415
single__target_month_spring_festival_spans_adjacent_month,test,wd1_5,20,4,15.361996498625825,14.663759100926727
single__target_month_spring_festival_spans_adjacent_month,test,wd1_10,40,4,15.357152044390187,14.663759100926727
single__target_month_spring_festival_spans_adjacent_month,test,jan_feb_wd1_10,20,2,13.710941647755709,14.056966817112794
single__target_month_spring_festival_spans_adjacent_month,test,spring_wd1_10,10,1,10.53208971624915,10.810449012309887
drop_one__target_month_workdays,valid,overall,248,12,8.13488032402081,6.269564051890221
