variant,split,slice,n_predictions,n_months,mean_mape_pct,median_mape_pct,baseline_mean_mape_pct,mape_improvement_pct_point
drop_one__target_month_weekend_days,valid,high_nonworkday_month,56,3,5.655736985022978,6.637811513308318,6.911400540892886,1.2556635558699076
drop_one__target_month_weekend_days,valid,wd1_5,60,12,8.10511016008473,6.729939978830948,8.084677485972055,-0.020432674112674576
drop_one__target_month_weekend_days,valid,wd1_10,120,12,8.024743550739581,6.637811513308318,7.980121732260401,-0.04462181847917979
drop_one__target_month_weekend_days,valid,jan_feb_wd1_10,20,2,7.909273009967554,6.859879394563717,7.077448985808353,-0.831824024159201
drop_one__target_month_weekend_days,valid,spring_wd1_10,20,2,7.909273009967554,6.859879394563717,7.077448985808353,-0.831824024159201
drop_one__target_month_weekend_days,test,overall,80,4,12.280425918364836,11.545715018177741,14.940562347198343,2.660136428833507
drop_one__target_month_weekend_days,test,jan_feb,37,2,10.679767728768352,11.704898517442842,13.47682153288237,2.797053804114018
drop_one__target_month_weekend_days,test,spring_festival_month,16,1,5.213342548152162,5.107689096532623,10.714613015252883,5.5012704671007215
drop_one__target_month_weekend_days,test,high_nonworkday_month,16,1,5.213342548152162,5.107689096532623,10.714613015252883,5.5012704671007215
drop_one__target_month_weekend_days,test,wd1_5,20,4,12.067369010400181,12.272437043742952,15.361996498625825,3.294627488225643
drop_one__target_month_weekend_days,test,wd1_10,40,4,12.305929936838723,12.272437043742952,15.357152044390187,3.051222107551464
drop_one__target_month_weekend_days,test,jan_feb_wd1_10,20,2,10.460337482543327,10.370005238639973,13.710941647755709,3.2506041652123816
drop_one__target_month_weekend_days,test,spring_wd1_10,10,1,4.925334499838664,4.881177986515908,10.53208971624915,5.606755216410486
drop_one__target_month_lunar_holiday_days,valid,overall,248,12,7.2558592191909845,6.3091660148338455,7.422426334882697,0.16656711569171279
drop_one__target_month_lunar_holiday_days,valid,jan_feb,38,2,5.712701900116307,6.421609056804368,5.579106495134633,-0.13359540498167366
drop_one__target_month_lunar_holiday_days,valid,spring_festival_month,38,2,5.712701900116307,6.421609056804368,5.579106495134633,-0.13359540498167366
drop_one__target_month_lunar_holiday_days,valid,high_nonworkday_month,56,3,5.751252441727713,6.362625525184015,6.911400540892886,1.1601480991651725
drop_one__target_month_lunar_holiday_days,valid,wd1_5,60,12,7.77468872056669,6.149833529027637,8.084677485972055,0.3099887654053646
drop_one__target_month_lunar_holiday_days,valid,wd1_10,120,12,7.770069643525992,6.667443642094305,7.980121732260401,0.21005208873440928
drop_one__target_month_lunar_holiday_days,valid,jan_feb_wd1_10,20,2,7.8419657902285,6.795832582041967,7.077448985808353,-0.7645168044201469
drop_one__target_month_lunar_holiday_days,valid,spring_wd1_10,20,2,7.8419657902285,6.795832582041967,7.077448985808353,-0.7645168044201469
drop_one__target_month_lunar_holiday_days,test,overall,80,4,13.164311878188991,11.656841318155628,14.940562347198343,1.7762504690093515
drop_one__target_month_lunar_holiday_days,test,jan_feb,37,2,12.517482423608275,11.704898517442842,13.47682153288237,0.9593391092740955
drop_one__target_month_lunar_holiday_days,test,spring_festival_month,16,1,9.691393230144246,9.463113757948543,10.714613015252883,1.0232197851086369
drop_one__target_month_lunar_holiday_days,test,high_nonworkday_month,16,1,9.691393230144246,9.463113757948543,10.714613015252883,1.0232197851086369
drop_one__target_month_lunar_holiday_days,test,wd1_5,20,4,13.03307557279538,12.230354381970706,15.361996498625825,2.3289209258304453
drop_one__target_month_lunar_holiday_days,test,wd1_10,40,4,13.324422170254099,12.555573471102182,15.357152044390187,2.0327298741360877
drop_one__target_month_lunar_holiday_days,test,jan_feb_wd1_10,20,2,12.452745035597927,12.555573471102182,13.710941647755709,1.2581966121577821
drop_one__target_month_lunar_holiday_days,test,spring_wd1_10,10,1,9.097179945839565,9.134631046425742,10.53208971624915,1.4349097704095843
drop_one__target_month_spring_festival_core_days,valid,overall,248,12,7.2616925799911565,6.432302116832887,7.422426334882697,0.16073375489154085
